,0
0,27.38
1,27.34
2,27.269999
3,27.21
4,27.23
5,27.3
6,27.189999
7,27.109999
8,27.019999
9,26.84
10,26.84
11,26.8
12,26.75
13,26.67
14,26.63
15,26.609999
16,26.58
17,26.609999
18,26.48
19,26.46
20,26.49
21,26.519999
22,26.55
23,26.529999
24,26.49
25,26.5
26,26.57
27,26.599998
28,26.289999
29,26.33
30,26.279999
31,26.26
32,26.269999
33,26.279999
34,26.3
35,26.449999
36,26.46
37,26.43
38,26.519999
39,26.689999
40,26.689999
41,26.67
42,26.619999
43,26.38
44,26.099998
45,26.06
46,26.17
47,26.24
48,26.18
49,26.23
50,26.16
51,26.369999
52,26.38
53,26.33
54,26.23
55,26.269999
56,26.269999
57,26.3
58,26.269999
59,26.279999
60,26.189999
61,26.22
62,26.099998
63,25.859999
64,26.019999
65,26.109999
66,26.18
67,26.23
68,26.24
69,26.199999
70,26.0
71,26.15
72,26.369999
73,26.289999
74,26.3
75,26.279999
76,26.23
77,26.189999
78,26.189999
79,26.099998
80,26.039999
81,26.3
82,26.4
83,26.5
84,26.63
85,26.67
86,26.619999
87,26.939999
88,26.789999
89,26.5
90,26.359999
91,26.33
92,26.4
93,26.49
94,26.449999
95,26.539999
96,26.869999
97,26.81
98,26.65
99,26.55
100,26.439999
101,26.31
102,26.17
103,26.18
104,26.109999
105,26.39
106,26.42
107,26.47
108,26.38
109,26.349998
110,26.33
111,26.48
112,26.449999
113,26.449999
114,26.21
115,25.84
116,26.269999
117,26.72
118,26.939999
119,26.89
120,26.76
121,26.81
122,26.84
123,26.88
124,26.82
125,26.779999
126,26.609999
127,26.59
128,26.63
129,26.67
130,27.01
131,26.9
132,26.93
133,27.01
134,27.15
135,27.199999
136,27.189999
137,26.99
138,26.939999
139,27.029999
140,27.33
141,27.49
142,27.539999
143,27.3
144,27.22
145,27.06
146,27.31
147,27.349998
148,27.42
149,27.31
150,27.14
151,27.279999
152,26.89
153,27.119999
154,26.88
155,26.59
156,26.8
157,26.82
158,26.74
159,26.92
160,26.96
161,27.07
162,27.199999
163,27.269999
164,27.21
165,26.939999
166,26.779999
167,26.71
168,26.689999
169,26.779999
170,26.81
171,26.789999
172,26.73
173,26.66
174,26.609999
175,26.96
176,27.15
177,27.199999
178,26.97
179,26.689999
180,26.939999
181,26.81
182,26.89
183,27.359999
184,27.439999
185,27.39
186,27.48
187,27.519999
188,27.48
189,27.42
190,27.51
191,27.769999
192,27.65
193,27.66
194,27.25
195,27.13
196,27.08
197,27.57
198,27.75
199,27.869999
200,28.0
201,27.98
202,27.75
203,27.51
204,27.74
205,27.769999
206,28.189999
207,27.8
208,27.859999
209,27.82
210,28.16
211,27.8
212,28.08
213,28.14
214,28.41
215,28.349998
216,27.9
217,28.4
218,28.39
219,28.41
220,28.119999
221,28.3
222,28.01
223,28.13
224,28.359999
225,28.47
226,28.43
227,28.42
228,28.39
229,28.47
230,28.529999
231,28.519999
232,28.9
233,28.89
234,29.07
235,28.88
236,28.71
237,28.46
238,28.67
239,28.859999
240,29.01
241,28.539999
242,28.5
243,28.57
244,28.82
245,28.869999
246,29.08
247,29.05
248,29.199999
249,28.89
250,28.869999
251,29.279999
252,29.3
253,29.25
254,28.699999
255,28.619999
256,28.57
257,28.57
258,28.83
259,28.869999
260,29.08
261,29.21
262,28.849998
263,28.619999
264,28.67
265,28.779999
266,28.88
267,28.76
268,28.92
269,28.73
270,28.689999
271,28.529999
272,28.56
273,28.65
274,28.74
275,28.949999
276,28.82
277,28.67
278,28.519999
279,28.46
280,28.33
281,28.42
282,28.38
283,28.849998
284,28.71
285,28.5
286,28.529999
287,28.51
288,28.56
289,28.65
290,28.699999
291,28.67
292,28.859999
293,28.64
294,28.57
295,28.599998
296,28.68
297,28.81
298,28.83
299,28.849998
300,28.59
301,28.47
302,28.439999
303,28.5
304,28.48
305,28.84
306,28.83
307,28.74
308,28.49
309,28.539999
310,28.81
311,28.83
312,28.83
313,28.81
314,28.74
315,28.67
316,28.65
317,28.66
318,28.699999
319,28.59
320,28.32
321,28.21
322,28.25
323,28.279999
324,28.32
325,28.359999
326,28.4
327,28.23
328,28.199999
329,27.99
330,27.99
331,27.849998
332,27.88
333,27.82
334,27.96
335,27.91
336,27.76
337,27.56
338,27.47
339,27.42
340,27.46
341,27.39
342,27.369999
343,27.07
344,26.97
345,26.93
346,26.949999
347,27.14
348,27.25
349,27.24
350,27.17
351,27.14
352,27.16
353,27.119999
354,27.32
355,27.31
356,27.21
357,27.099998
358,26.609999
359,26.63
360,26.65
361,26.689999
362,26.699999
363,26.55
364,26.529999
365,26.67
366,26.65
367,26.66
368,26.64
369,26.71
370,26.72
371,26.68
372,26.63
373,26.63
374,26.619999
375,26.64
376,26.59
377,26.59
378,26.48
379,26.51
380,26.42
381,26.34
382,26.3
383,26.449999
384,26.47
385,26.42
386,26.51
387,26.599998
388,26.609999
389,26.779999
390,26.849998
391,26.91
392,26.529999
393,26.3
394,26.539999
395,26.58
396,26.66
397,26.49
398,26.349998
399,26.449999
400,26.51
401,26.56
402,26.38
403,26.439999
404,26.17
405,26.14
406,26.07
407,26.029999
408,25.88
409,25.8
410,25.76
411,25.82
412,25.769999
413,25.68
414,25.75
415,25.75
416,25.769999
417,25.779999
418,25.869999
419,25.91
420,25.93
421,25.88
422,25.81
423,25.769999
424,25.789999
425,25.869999
426,25.64
427,25.539999
428,25.619999
429,25.949999
430,26.119999
431,26.21
432,25.93
433,25.859999
434,25.859999
435,25.83
436,25.81
437,25.859999
438,25.88
439,26.05
440,26.099998
441,26.21
442,26.05
443,26.01
444,26.06
445,25.92
446,25.97
447,25.99
448,26.019999
449,26.019999
450,25.99
451,25.939999
452,25.859999
453,26.119999
454,26.14
455,26.119999
456,26.07
457,26.099998
458,26.15
459,26.32
460,26.32
461,26.47
462,26.31
463,26.31
464,26.21
465,25.91
466,25.74
467,25.65
468,26.019999
469,26.15
470,26.17
471,26.199999
472,26.15
473,26.199999
474,26.279999
475,26.34
476,26.3
477,26.31
478,26.39
479,26.46
480,26.63
481,26.5
482,26.49
483,26.46
484,26.349998
485,26.289999
486,26.359999
487,26.599998
488,26.76
489,26.699999
490,26.71
491,26.8
492,26.849998
493,27.05
494,27.189999
495,27.43
496,27.43
497,27.56
498,27.609999
499,27.359999
500,27.25
501,27.32
502,27.56
503,27.699999
504,27.51
505,27.519999
506,27.48
507,27.449999
508,27.63
509,27.599998
510,27.289999
511,27.25
512,27.46
513,27.42
514,27.39
515,27.39
516,27.42
517,27.38
518,27.369999
519,28.019999
520,28.07
521,28.029999
522,27.699999
523,27.59
524,27.46
525,27.42
526,27.48
527,27.56
528,27.769999
529,27.72
530,27.73
531,27.529999
532,27.619999
533,27.56
534,27.449999
535,27.42
536,27.199999
537,27.119999
538,27.4
539,27.66
540,27.619999
541,27.18
542,26.859999
543,26.92
544,27.41
545,27.439999
546,27.43
547,27.72
548,27.24
549,27.67
550,27.64
551,27.609999
552,27.58
553,27.539999
554,27.81
555,27.96
556,28.05
557,27.71
558,27.5
559,27.619999
560,27.619999
561,27.42
562,27.25
563,27.539999
564,27.99
565,28.25
566,28.25
567,28.14
568,28.25
569,28.4
570,28.4
571,28.41
572,28.349998
573,28.349998
574,28.359999
575,28.019999
576,28.039999
577,28.38
578,28.76
579,28.769999
580,28.699999
581,28.67
582,28.68
583,28.73
584,28.73
585,28.88
586,28.859999
587,28.83
588,28.5
589,28.31
590,28.21
591,28.41
592,28.42
593,28.64
594,28.599998
595,28.81
596,28.779999
597,28.769999
598,28.769999
599,28.74
600,28.769999
601,28.97
602,29.099998
603,29.099998
604,29.279999
605,28.93
606,28.68
607,28.48
608,28.71
609,28.75
610,28.9
611,28.88
612,28.939999
613,28.9
614,29.029999
615,28.949999
616,28.99
617,28.869999
618,28.91
619,28.949999
620,29.06
621,29.029999
622,29.14
623,29.26
624,29.33
625,28.38
626,28.25
627,28.48
628,29.029999
629,29.21
630,29.289999
631,29.25
632,29.21
633,29.24
634,29.189999
635,29.17
636,28.96
637,29.07
638,28.82
639,28.939999
640,28.619999
641,28.76
642,28.75
643,28.949999
644,28.63
645,28.609999
646,28.789999
647,28.93
648,28.83
649,28.68
650,28.609999
651,28.64
652,28.609999
653,28.519999
654,28.17
655,28.18
656,28.3
657,28.71
658,28.72
659,28.67
660,28.58
661,28.42
662,28.119999
663,27.93
664,28.39
665,28.63
666,28.56
667,28.49
668,28.38
669,28.369999
670,28.39
671,28.42
672,28.449999
673,28.38
674,28.23
675,28.289999
676,28.699999
677,28.73
678,28.99
679,28.82
680,28.849998
681,28.5
682,28.63
683,28.65
684,28.76
685,28.64
686,28.57
687,28.38
688,28.439999
689,28.43
690,28.66
691,28.689999
692,28.59
693,28.57
694,28.599998
695,28.58
696,28.55
697,28.49
698,28.539999
699,28.529999
700,28.599998
701,28.609999
702,28.599998
703,28.48
704,28.369999
705,28.31
706,28.279999
707,28.24
708,28.26
709,28.099998
710,28.06
711,28.34
712,28.119999
713,28.06
714,27.779999
715,27.97
716,28.06
717,28.119999
718,28.109999
719,27.98
720,28.0
721,28.06
722,28.01
723,28.01
724,27.789999
725,27.81
726,27.88
727,27.99
728,28.06
729,27.66
730,27.58
731,27.56
732,27.65
733,27.64
734,27.58
735,27.599998
736,27.56
737,27.58
738,27.539999
739,27.51
740,27.56
741,27.539999
742,27.619999
743,27.56
744,27.42
745,27.349998
746,27.33
747,27.13
748,27.269999
749,27.279999
750,27.24
751,27.17
752,27.16
753,27.119999
754,27.0
755,26.9
756,26.91
757,26.859999
758,26.89
759,26.84
760,26.939999
761,27.029999
762,27.08
763,27.05
764,27.01
765,27.029999
766,26.599998
767,26.83
768,26.849998
769,26.859999
770,26.71
771,26.66
772,26.64
773,26.51
774,26.5
775,26.599998
776,26.68
777,26.65
778,26.689999
779,26.67
780,26.68
781,26.55
782,26.369999
783,26.38
784,26.4
785,26.3
786,26.31
787,26.599998
788,26.789999
789,26.609999
790,26.58
791,26.56
792,26.47
793,26.42
794,26.369999
795,26.17
796,26.26
797,26.32
798,26.47
799,26.51
800,26.57
801,26.599998
802,26.71
803,26.63
804,26.369999
805,26.38
806,26.34
807,26.47
808,26.73
809,26.82
810,26.859999
811,26.699999
812,26.699999
813,26.619999
814,27.21
815,27.23
816,27.13
817,27.109999
818,27.25
819,27.189999
820,27.26
821,27.26
822,27.269999
823,27.24
824,27.32
825,27.369999
826,27.42
827,27.609999
828,27.57
829,27.539999
830,27.43
831,27.199999
832,27.4
833,27.18
834,27.23
835,27.119999
836,27.67
837,27.67
838,27.74
839,27.439999
840,27.26
841,27.18
842,27.14
843,27.09
844,27.019999
845,26.949999
846,27.039999
847,27.14
848,27.189999
849,27.22
850,27.199999
851,
852,
853,
854,
855,
856,
857,
858,
859,
860,
861,
862,
863,
864,
865,
866,
867,
868,
869,
870,
871,
872,
873,
874,
875,
876,
877,
878,
879,
880,
881,
882,27.63
883,27.609999
884,27.789999
885,27.57
886,27.74
887,27.279999
888,27.269999
889,27.349998
890,27.789999
891,27.97
892,28.039999
893,28.01
894,28.07
895,27.99
896,27.779999
897,27.849998
898,27.76
899,27.88
900,27.98
901,27.939999
902,27.91
903,27.71
904,27.74
905,27.189999
906,27.47
907,27.93
908,27.93
909,27.84
910,27.57
911,27.66
912,27.68
913,27.689999
